x,y,z1,zb
930,470,0,1055
930,510,0,1010
930,550,0,995
930,20,0,985
960,20,0,962
930,590,0,946
900,20,0,925
870,20,0,887
960,470,1003,1078
930,470,967,1047
960,510,952,1039
960,550,927,993
900,470,935,986
960,590,913,970
870,470,902,944
954,550,1061,1177
954,550,1056,1157
954,550,1054,1147
954,550,1040,1144
954,530,1042,1141
954,580,1022,1128
954,490,1010,1123
954,490,1000,1122
954,20,968,1098
952,730,846,915
967,730,801,875
997,730,792,861
1012,730,775,843
970,550,1045,1218
970,450,1082,1210
970,500,1090,1205
970,20,1110,1178
970,600,1084,1170
970,650,1059,1124
960,500,1050,1120
1000,450,1000,1100
1000,500,1020,1100
920,500,960,1070
960,450,960,1050
920,450,890,1000
20,20,700,790
940,530,979,1054
940,600,926,972
940,650,936,971
940,700,850,929
940,530,844,918
940,760,839,913
780,20,830,898
700,20,926,987
920,530,909,986
1030,530,848,949
